paper_id,duration,trt_id,year,fert_app,fert_type,fert_type_detail,fert_rate,fert_nitrogen,fert_phosphorus,fert_potassium,fert_carbon,fert_date,trt_name,trt_other_description
5032,2005-8,3,1;2,NA,Green Manure,cypress wood (Cupressus lusitanica Mill.) sawdust,at 6 t C/ha for three consecutive season,13.5 kg N/ha,1.2 kg P/ha,4.9 kg K/ha,490  g/kg,NA,Sawdust,NA
5032,2005-8,4,1;2,NA,Green Manure,Tithonia diversifolia (Hemsl.) A. Gray leaves,at 6 t C/ha for three consecutive season,64.7 kg N/ha,41.8 kg P/ha,477.3 kg K/ha,445  g/kg,NA,Tithonia,NA
5033,2002-12,0,1;2;3;4;5;6;7;8;9;10;11;12,NA,Unamended,unfertilized,NA,Absent,Absent,Absent,Absent,NA,CON,NA
5033,2002-12,1,1;2;3;4;5;6;7;8;9;10;11;12,NA,Green Manure,Calliandra calothyrsus (medium quality; C/N ratio 13; Lignin 13 %; Polyphenols 9.4 %),4 Mg C/ha/year,Present,Present,Present,Present,NA,CC,NA
5033,2002-12,2,1;2;3;4;5;6;7;8;9;10;11;12,NA,Green Manure,Zea mays (low quality; C/N ratio 59; Lignin 5.4 %; Polyphenols 1.2 %),4 Mg C/ha/year,Present,Present,Present,Present,NA,ZM,NA
5033,2002-12,3,1;2;3;4;5;6;7;8;9;10;11;12,NA,Green Manure,Tithonia diversifolia (high quality; C/N ratio: 13; Lignin: 8.9 %; Polyphenols: 1.7 %),4 Mg C/ha/year,Present,Present,Present,Present,NA,TD,NA
5033,2002-12,4,1;2;3;4;5;6;7;8;9;10;11;12,NA,Nitrogen Mineral Fertilizer,Calcium ammonium nitrate (CaNH4NO3),"120 kg N/ha with 1/3 applied 3 weeks after sowing, 2/3 applied 8 weeks later",120 kg N/ha,Absent,Absent,Absent,NA,NA,NA
5034,2007-6,0,1;2;3;4;5;6,NA,Unamended,unfertilized,NA,Absent,Absent,Absent,Absent,NA,Nil,0
5034,2007-6,1,1;2;3;4;5;6,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,triple superphosphate; urea; potassium chloride,NA,60 kg N/ha,60 kg P/ha,12.5 kg K/ha,Absent,NA,TSP 12.5,1
5034,2007-6,2,1;2;3;4;5;6,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,triple superphosphate; urea; potassium chloride,NA,60 kg N/ha,60 kg P/ha,25 kg K/ha,Absent,NA,TSP 25,2
5034,2007-6,3,1;2;3;4;5;6,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,triple superphosphate; Minjingu phosphate rock; urea; potassium chloride,NA,60 kg N/ha,60 kg P/ha,62.5 kg K/ha,Absent,NA,TSP 12.5 + MPR 50,3
5034,2007-6,4,1;2;3;4;5;6,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,triple superphosphate; Minjingu phosphate rock; urea; potassium chloride,NA,60 kg N/ha,60 kg P/ha,50 kg K/ha,Absent,NA,TSP 25 + MPR 25,4
5034,2007-6,5,1;2;3;4;5;6,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,triple superphosphate; urea; potassium chloride,NA,60 kg N/ha,60 kg P/ha,50 kg K/ha,Absent,NA,TSP 50,5
